transition,rel_case1,rel_case2,rel_avg
323,1.0,0.9756022235948116,0.9878011117974058
324,0.9840783833435395,1.0,0.9920391916717697
325,0.9834660134721371,1.0,0.9917330067360686
326,1.0,1.0,1.0
327,1.0,1.0,1.0
328,0.9840783833435395,1.0,0.9920391916717697
329,1.0,0.9769470404984424,0.9884735202492212
330,0.9834660134721371,0.9756022235948116,0.9795341185334744
331,1.0,1.0,1.0
332,1.0,1.0,1.0
333,1.0,0.9810676598386096,0.9905338299193047
334,1.0,0.9756022235948116,0.9878011117974058
335,1.0,1.0,1.0
336,1.0,0.976456009913259,0.9882280049566294
337,1.0,0.9749845583693638,0.9874922791846819
338,1.0,0.983940704138357,0.9919703520691785
339,0.952490774907749,0.9830142063001853,0.9677524906039672
340,0.9548377219840783,0.983940704138357,0.9693892130612176
341,0.9840783833435395,1.0,0.9920391916717697
342,0.9834660134721371,0.9830142063001853,0.9832401098861612
343,0.9840783833435395,0.983940704138357,0.9840095437409482
344,0.9834660134721371,1.0,0.9917330067360686
345,0.9840783833435395,1.0,0.9920391916717697
346,0.9834660134721371,1.0,0.9917330067360686
347,1.0,1.0,1.0
348,1.0,1.0,1.0
349,0.9840783833435395,1.0,0.9920391916717697
350,0.9834660134721371,0.9770043505282784,0.9802351820002078
351,1.0,0.9756022235948116,0.9878011117974058
352,0.9840783833435395,1.0,0.9920391916717697
353,0.9834660134721371,1.0,0.9917330067360686
354,1.0,1.0,1.0
355,1.0,1.0,1.0
356,1.0,1.0,1.0
357,0.9840783833435395,1.0,0.9920391916717697
358,0.9834660134721371,1.0,0.9917330067360686
359,1.0,1.0,1.0
360,1.0,1.0,1.0
361,1.0,1.0,1.0
362,1.0,1.0,1.0
363,1.0,1.0,1.0
364,1.0,1.0,1.0
365,1.0,1.0,1.0
366,1.0,1.0,1.0
367,1.0,1.0,1.0
368,1.0,1.0,1.0
369,1.0,1.0,1.0
370,1.0,0.9797759800871189,0.9898879900435594
371,1.0,0.9756022235948116,0.9878011117974058
372,0.9840783833435395,0.9839108910891089,0.9839946372163242
373,0.9834660134721371,0.983940704138357,0.9837033588052471
374,1.0,1.0,1.0
375,1.0,0.9830142063001853,0.9915071031500926
376,1.0,0.983940704138357,0.9919703520691785
377,1.0,1.0,1.0
378,1.0,1.0,1.0
379,1.0,0.9712375621890548,0.9856187810945274
380,1.0,0.9658739962940086,0.9829369981470043
381,1.0,0.983940704138357,0.9919703520691785
382,0.984375,1.0,0.9921875
383,0.9834660134721371,1.0,0.9917330067360686
384,1.0,1.0,1.0
385,1.0,1.0,1.0
386,1.0,1.0,1.0
387,1.0,0.9830142063001853,0.9915071031500926
388,1.0,0.983940704138357,0.9919703520691785
